timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032675213,304,Przyprawy,200,OK,Stress test 1-39,text,true,,269059,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,179,0,67
1681032675213,179,Przyprawy-0,301,Moved Permanently,Stress test 1-39,text,true,,1482,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,179,0,67
1681032675392,125,Przyprawy-1,200,OK,Stress test 1-39,text,true,,267577,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,84,0,30
1681032676508,205,Trzecia patelnia,200,OK,Stress test 1-75,text,true,,277591,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,110,0,0
1681032676508,110,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-75,text,true,,1483,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,110,0,0
1681032676618,95,Trzecia patelnia-1,200,OK,Stress test 1-75,text,true,,276108,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,56,0,0
1681032676887,205,Trzecia patelnia,200,OK,Stress test 1-74,text,true,,277569,400,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,107,0,0
1681032676887,107,Trzecia patelnia-0,301,Moved Permanently,Stress test 1-74,text,true,,1468,202,31,31,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,107,0,0
1681032676994,98,Trzecia patelnia-1,200,OK,Stress test 1-74,text,true,,276101,198,31,31,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,60,0,0
1681032677335,294,Przyprawy,200,OK,Stress test 1-40,text,true,,269056,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,172,0,68
